fecha,Hidráulica Bal,Eólica Bal,Solar fotovoltaica Bal,Solar térmica Bal,Hidroeólica Bal,Otras renovables Bal,Residuos renovables Bal,Generación renovable Bal,Turbinación bombeo Bal,Nuclear Bal,Ciclo combinado Bal,Carbón Bal,Motores diésel Bal,Turbina de gas Bal,Turbina de vapor Bal,Cogeneración Bal,Residuos no renovables Bal,Generación no renovable Bal,Consumos en bombeo Bal,Saldo I. internacionales Bal,Demanda en b.c. Bal,Hidráulica Gen,Turbinación bombeo Gen,Nuclear Gen,Carbón Gen,Motores diésel Gen,Turbina de gas Gen,Turbina de vapor Gen,Ciclo combinado Gen,Hidroeólica Gen,Eólica Gen,Solar fotovoltaica Gen,Solar térmica Gen,Otras renovables Gen,Cogeneración Gen,Residuos no renovables Gen,Residuos renovables Gen,Generación total Gen,nombre_1387,tmed_1387,prec_1387,velmedia_1387,nombre_9898,tmed_9898,prec_9898,velmedia_9898,nombre_0076,tmed_0076,prec_0076,velmedia_0076,nombre_1212E,tmed_1212E,prec_1212E,velmedia_1212E,nombre_1111X,tmed_1111X,prec_1111X,velmedia_1111X,nombre_1082,tmed_1082,prec_1082,velmedia_1082,nombre_1002Y,tmed_1002Y,prec_1002Y,velmedia_1002Y,nombre_9170,tmed_9170,prec_9170,velmedia_9170,nombre_9434,tmed_9434,prec_9434,velmedia_9434,nombre_2661,tmed_2661,prec_2661,velmedia_2661,nombre_3195,tmed_3195,prec_3195,velmedia_3195,nombre_4452,tmed_4452,prec_4452,velmedia_4452,nombre_3260B,tmed_3260B,prec_3260B,velmedia_3260B,nombre_8416Y,tmed_8416Y,prec_8416Y,velmedia_8416Y,nombre_7178I,tmed_7178I,prec_7178I,velmedia_7178I,nombre_5783,tmed_5783,prec_5783,velmedia_5783,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
2020-01-01,151481.978,23525.794,22648.945,5311.291,25.172,8373.805,2454.4395,213821.4245,8651.677,170552.654,119850.631,8634.057,6225.581,851.49,3941.224,58759.866,4197.0385,381664.21849999996,-21693.195,984.272,574776.7200000001,151481.978,8651.677,170552.654,8634.057,6225.581,851.49,3941.224,119850.631,25.172,23525.794,22648.945,5311.291,8373.805,58759.866,4197.0385,2454.4395,595485.6430000002,A CORUÑA,"9,0","0,0","1,9","HUESCA, AEROPUERTO","0,7","0,0","0,6",BARCELONA AEROPUERTO,"9,2","0,0","2,5",ASTURIAS AEROPUERTO,"7,4","0,0","2,5",SANTANDER,"10,9","0,0","2,2",BILBAO AEROPUERTO,"8,8","0,0","1,9","BAZTAN, IRURITA ","6,5","0,0","0,3","LOGROÑO, AEROPUERTO","0,4","0,0","1,4","ZARAGOZA, AEROPUERTO","1,0","0,0","1,7","LEÓN, VIRGEN DEL CAMINO","4,2","0,0","1,1","MADRID, RETIRO","6,6","0,0","0,3",BADAJOZ AEROPUERTO,"8,2","0,0","1,1",TOLEDO,"4,8","0,0","1,7","VALÈNCIA, VIVEROS",,"0,0",,MURCIA,"9,8","0,0","1,1",SEVILLA AEROPUERTO,"11,9","0,0","1,9",75.0,94.0,1387.0,4247.0,3744.0,3724.0,3700.0,3680.0,105.0,78.0,208.0,201.0,168.0,207.0,93.0,64.0,75.0,95.0,59.0,129.0,464.0,610.0,133.0,898.0
2020-01-02,159171.675,77426.389,18979.007,3922.497,21.048,8407.882,2115.2715,270043.7695,15524.816,170547.966,146487.644,13528.944,7044.773,2000.373,5274.673,73625.417,3842.6555,437877.2615,-11026.39,26627.734,723522.375,159171.675,15524.816,170547.966,13528.944,7044.773,2000.373,5274.673,146487.644,21.048,77426.389,18979.007,3922.497,8407.882,73625.417,3842.6555,2115.2715,707921.031,A CORUÑA,"9,3","0,2","2,8","HUESCA, AEROPUERTO","-0,2","0,0","0,8",BARCELONA AEROPUERTO,"9,4","0,0","4,7",ASTURIAS AEROPUERTO,"7,3","0,0","2,8",SANTANDER,"9,4",Ip,"2,8",BILBAO AEROPUERTO,"8,4","0,0","2,5","BAZTAN, IRURITA ","5,5","0,0","0,6","LOGROÑO, AEROPUERTO","0,0","0,0","2,2","ZARAGOZA, AEROPUERTO","0,6","0,0","1,1","LEÓN, VIRGEN DEL CAMINO","0,9","0,0","1,1","MADRID, RETIRO","6,0","0,0","0,6",BADAJOZ AEROPUERTO,"7,4","0,0","1,1",TOLEDO,"5,4","0,0","1,7","VALÈNCIA, VIVEROS",,"0,0",,MURCIA,"10,6","0,0","1,1",SEVILLA AEROPUERTO,"10,8","0,0","1,1",212.0,76.0,83.0,98.0,65.0,82.0,127.0,66.0,80.0,100.0,66.0,360.0,693.0,641.0,517.0,888.0,2878.0,81.0,114.0,252.0,260.0,452.0,291.0,3816.0
2020-01-03,151996.921,84099.112,17358.048,721.767,21.957,8992.384,2115.966,265306.155,13097.606,170574.17,121440.647,15005.648,7882.421,1463.308,5062.362,81302.22,4502.348,420330.73,-10811.336,79819.793,754645.3420000001,151996.921,13097.606,170574.17,15005.648,7882.421,1463.308,5062.362,121440.647,21.957,84099.112,17358.048,721.767,8992.384,81302.22,4502.348,2115.966,685636.8849999999,A CORUÑA,"11,9","0,0","2,5","HUESCA, AEROPUERTO","0,6","0,0","1,4",BARCELONA AEROPUERTO,"7,8","0,0","5,8",ASTURIAS AEROPUERTO,"10,7","0,7","2,8",SANTANDER,"10,6","1,6","3,3",BILBAO AEROPUERTO,"6,8","1,9","1,7","BAZTAN, IRURITA ","2,5","1,6","0,0","LOGROÑO, AEROPUERTO","4,6","0,0","3,1","ZARAGOZA, AEROPUERTO","4,2","0,0","4,4","LEÓN, VIRGEN DEL CAMINO","1,3","0,0","1,4","MADRID, RETIRO","3,8","0,0","0,6",BADAJOZ AEROPUERTO,"10,8","0,0","1,7",TOLEDO,"4,6","0,0","0,6","VALÈNCIA, VIVEROS",,"0,0",,MURCIA,"11,8","0,0","1,4",SEVILLA AEROPUERTO,"10,5","0,0","1,1",3728.0,3678.0,3682.0,3710.0,3717.0,3725.0,3637.0,3605.0,136.0,231.0,977.0,645.0,199.0,94.0,172.0,408.0,685.0,304.0,165.0,104.0,784.0,572.0,255.0,2398.0
2020-01-04,139873.002,125320.489,21758.614,3118.439,14.807,9549.843,2221.6345,301856.8285,5359.33,170642.767,85075.701,14957.816,7270.96,1013.758,4188.995,77322.202,4957.3405,370788.8695,-21729.65,51474.83,702390.878,139873.002,5359.33,170642.767,14957.816,7270.96,1013.758,4188.995,85075.701,14.807,125320.489,21758.614,3118.439,9549.843,77322.202,4957.3405,2221.6345,672645.6980000002,A CORUÑA,"9,4","0,0","0,8","HUESCA, AEROPUERTO","3,0","0,0","1,1",BARCELONA AEROPUERTO,"9,4","0,0","5,0",ASTURIAS AEROPUERTO,"8,4","2,4","3,6",SANTANDER,"11,0","1,2","1,9",BILBAO AEROPUERTO,"8,9","0,5","1,1","BAZTAN, IRURITA ","7,3","0,9","0,3","LOGROÑO, AEROPUERTO","8,8","0,0","2,8","ZARAGOZA, AEROPUERTO","8,6","0,0","5,0","LEÓN, VIRGEN DEL CAMINO","-1,2","0,0","1,4","MADRID, RETIRO","7,0","0,0","2,5",BADAJOZ AEROPUERTO,"7,4","0,0","1,4",TOLEDO,"6,6","0,0","1,1","VALÈNCIA, VIVEROS",,"0,0",,MURCIA,"11,2","0,0","0,8",SEVILLA AEROPUERTO,"9,5","0,0","2,5",1069.0,475.0,501.0,509.0,104.0,83.0,522.0,508.0,466.0,480.0,551.0,435.0,489.0,126.0,100.0,76.0,70.0,86.0,100.0,59.0,223.0,349.0,250.0,142.0
2020-01-05,126801.179,61809.342,26575.952,5549.658,20.221,10030.028,2247.0905,233033.47049999997,8651.028,170645.456,88257.111,19109.375,6657.907,793.334,3958.623,75671.517,4856.1805,378600.5315,-22733.315,63066.799,651967.486,126801.179,8651.028,170645.456,19109.375,6657.907,793.334,3958.623,88257.111,20.221,61809.342,26575.952,5549.658,10030.028,75671.517,4856.1805,2247.0905,611634.0020000001,A CORUÑA,"8,2","0,0","1,7","HUESCA, AEROPUERTO","2,2","0,0","1,4",BARCELONA AEROPUERTO,"10,0","0,0","5,0",ASTURIAS AEROPUERTO,"8,2","0,0","2,5",SANTANDER,"9,0","0,0","6,1",BILBAO AEROPUERTO,"8,5","0,0","1,9","BAZTAN, IRURITA ","6,9","0,0","0,0","LOGROÑO, AEROPUERTO","6,9","0,0","3,3","ZARAGOZA, AEROPUERTO","8,2","0,0","3,6","LEÓN, VIRGEN DEL CAMINO","5,6","0,0","1,4","MADRID, RETIRO","6,2","0,0","0,8",BADAJOZ AEROPUERTO,"7,6","0,0","1,1",TOLEDO,"5,3","0,0","1,1","VALÈNCIA, VIVEROS",,"0,0",,MURCIA,"10,3","0,0","1,4",SEVILLA AEROPUERTO,"11,8","0,0","3,3",55.0,3656.0,3637.0,3665.0,3668.0,3639.0,2128.0,112.0,96.0,167.0,267.0,251.0,199.0,78.0,76.0,60.0,84.0,84.0,55.0,85.0,54.0,85.0,69.0,117.0
2020-01-06,130350.192,50242.116,24618.3,6446.596,48.745,10472.046,2336.0375,224514.03249999997,4635.544,170651.341,105270.559,15556.648,6117.604,1234.785,3922.173,77982.17,5024.0435,390394.86749999993,-14008.255,29358.887,630259.532,130350.192,4635.544,170651.341,15556.648,6117.604,1234.785,3922.173,105270.559,48.745,50242.116,24618.3,6446.596,10472.046,77982.17,5024.0435,2336.0375,614908.9,A CORUÑA,"10,1","0,0","2,5","HUESCA, AEROPUERTO","1,8","0,0","1,7",BARCELONA AEROPUERTO,"10,0","0,0","2,2",ASTURIAS AEROPUERTO,"7,6","0,0","3,1",SANTANDER,"9,3","0,0","4,4",BILBAO AEROPUERTO,"6,9","0,0","1,9","BAZTAN, IRURITA ","7,2","0,0","0,3","LOGROÑO, AEROPUERTO","1,2",Ip,"0,8","ZARAGOZA, AEROPUERTO","2,3","0,0","3,1","LEÓN, VIRGEN DEL CAMINO","-2,2","0,0","0,6","MADRID, RETIRO","6,7","0,0","0,6",BADAJOZ AEROPUERTO,"7,2","0,0","1,1",TOLEDO,"6,6","0,0","0,8","VALÈNCIA, VIVEROS",,"0,0",,MURCIA,"8,8","0,0","1,4",SEVILLA AEROPUERTO,"10,8","0,0","1,4",86.0,3743.0,3699.0,3692.0,3698.0,2950.0,497.0,56.0,145.0,169.0,198.0,208.0,135.0,85.0,67.0,76.0,91.0,56.0,80.0,87.0,55.0,152.0,142.0,147.0
2020-01-07,145618.109,55450.866,26272.258,6902.192,57.543,10822.991,2324.3255,247448.28450000004,19108.926,170602.231,173583.019,22965.583,7478.715,1528.138,4840.434,84988.483,5077.4105,490172.9395,-8555.255,59965.652,789031.621,145618.109,19108.926,170602.231,22965.583,7478.715,1528.138,4840.434,173583.019,57.543,55450.866,26272.258,6902.192,10822.991,84988.483,5077.4105,2324.3255,737621.2240000002,A CORUÑA,"10,8",Ip,"2,5","HUESCA, AEROPUERTO","1,3","0,0","0,8",BARCELONA AEROPUERTO,"10,0","0,0","3,9",ASTURIAS AEROPUERTO,"8,8","0,0","1,9",SANTANDER,"10,8","0,0","3,3",BILBAO AEROPUERTO,"11,0","0,0","1,7","BAZTAN, IRURITA ","8,4","0,0","0,3","LOGROÑO, AEROPUERTO","7,0","0,0","3,3","ZARAGOZA, AEROPUERTO","3,4","0,0","1,1","LEÓN, VIRGEN DEL CAMINO","2,5","0,0","1,4","MADRID, RETIRO","6,4","0,0","0,8",BADAJOZ AEROPUERTO,"7,4","0,0","1,1",TOLEDO,"6,8","0,0","1,1","VALÈNCIA, VIVEROS",,"0,0",,MURCIA,"9,0","0,0","1,1",SEVILLA AEROPUERTO,"11,9","0,0","2,2",104.0,112.0,70.0,89.0,103.0,66.0,87.0,81.0,150.0,704.0,1712.0,337.0,279.0,64.0,357.0,282.0,229.0,101.0,172.0,178.0,697.0,206.0,114.0,98.0
2020-01-08,148928.277,59253.662,25817.684,6291.059,51.217,11451.666,1871.0025,253664.56750000003,9671.036,170583.457,167533.096,28288.323,7329.94,1966.952,4613.076,86063.969,4452.4875,480502.3364999999,-1728.287,87705.061,820143.678,148928.277,9671.036,170583.457,28288.323,7329.94,1966.952,4613.076,167533.096,51.217,59253.662,25817.684,6291.059,11451.666,86063.969,4452.4875,1871.0025,734166.904,A CORUÑA,"14,0",Ip,"2,2","HUESCA, AEROPUERTO","3,2","0,0","1,9",BARCELONA AEROPUERTO,"10,7","0,0","2,5",ASTURIAS AEROPUERTO,"13,4","0,0","2,8",SANTANDER,"13,0","0,0","1,7",BILBAO AEROPUERTO,"11,7","0,0","1,9","BAZTAN, IRURITA ","8,7","0,0","0,0","LOGROÑO, AEROPUERTO","8,6","0,0","5,0","ZARAGOZA, AEROPUERTO","2,7","0,0","2,2","LEÓN, VIRGEN DEL CAMINO","5,8","0,0","2,2","MADRID, RETIRO","7,6","0,0","0,3",BADAJOZ AEROPUERTO,"6,6","0,0","0,8",TOLEDO,"7,1","0,0","1,9","VALÈNCIA, VIVEROS","10,1","0,0","0,8",MURCIA,"8,7","0,0","1,4",SEVILLA AEROPUERTO,"11,8","0,0","1,7",102.0,108.0,71.0,98.0,106.0,89.0,136.0,217.0,189.0,106.0,74.0,90.0,99.0,65.0,166.0,83.0,115.0,83.0,97.0,137.0,302.0,199.0,117.0,71.0
2020-01-09,132361.763,135416.026,22108.068,4373.747,83.063,10871.684,1464.5965,306678.94749999995,4059.633,170593.626,138267.108,27335.091,7293.74,1801.299,3808.411,83637.711,4140.6835,440937.3025,-5960.036,79113.4,820769.6140000001,132361.763,4059.633,170593.626,27335.091,7293.74,1801.299,3808.411,138267.108,83.063,135416.026,22108.068,4373.747,10871.684,83637.711,4140.6835,1464.5965,747616.25,A CORUÑA,"12,8","3,0","5,8","HUESCA, AEROPUERTO","4,6","0,0","0,8",BARCELONA AEROPUERTO,"10,2","4,9","4,7",ASTURIAS AEROPUERTO,"14,4","5,5","7,8",SANTANDER,"15,2","1,1","5,8",BILBAO AEROPUERTO,"13,6","8,9","5,0","BAZTAN, IRURITA ","8,2","5,4","1,1","LOGROÑO, AEROPUERTO","3,8","4,8","0,6","ZARAGOZA, AEROPUERTO","2,6",Ip,"1,9","LEÓN, VIRGEN DEL CAMINO","4,4","0,4","3,9","MADRID, RETIRO","7,8","0,0","1,1",BADAJOZ AEROPUERTO,"7,4","0,0","0,8",TOLEDO,"7,6","0,0","1,9","VALÈNCIA, VIVEROS","11,2","0,0","1,1",MURCIA,"12,6","0,0","1,1",SEVILLA AEROPUERTO,"10,2","0,0","1,7",83.0,276.0,910.0,571.0,81.0,81.0,83.0,324.0,185.0,81.0,90.0,85.0,72.0,91.0,98.0,70.0,90.0,127.0,87.0,940.0,1225.0,554.0,170.0,571.0
2020-01-10,137100.784,173832.12,22801.187,3328.695,83.152,10103.661,1670.8615,348920.4605,6620.053,170624.801,111136.798,34561.865,7511.701,1694.219,4493.461,83566.356,4372.6255,424581.8795,-15570.154,56827.641,814759.8269999999,137100.784,6620.053,170624.801,34561.865,7511.701,1694.219,4493.461,111136.798,83.152,173832.12,22801.187,3328.695,10103.661,83566.356,4372.6255,1670.8615,773502.34,A CORUÑA,"10,2",Ip,"2,5","HUESCA, AEROPUERTO","6,7","0,0","1,7",BARCELONA AEROPUERTO,"9,6","16,2","3,3",ASTURIAS AEROPUERTO,"8,2","0,6","2,2",SANTANDER,"10,7","2,8","5,6",BILBAO AEROPUERTO,"9,3","8,4","2,2","BAZTAN, IRURITA ","6,6","12,8","0,3","LOGROÑO, AEROPUERTO","7,2","0,3","3,9","ZARAGOZA, AEROPUERTO","7,8","0,0","8,6","LEÓN, VIRGEN DEL CAMINO","3,2","0,0","2,2","MADRID, RETIRO","7,5","0,0","3,3",BADAJOZ AEROPUERTO,"9,0","0,0","3,6",TOLEDO,"8,4","0,0","3,1","VALÈNCIA, VIVEROS","12,1","0,0","1,4",MURCIA,"12,1","0,0","3,3",SEVILLA AEROPUERTO,"10,2","0,0","1,4",512.0,513.0,489.0,431.0,73.0,92.0,70.0,411.0,429.0,97.0,769.0,386.0,349.0,71.0,77.0,75.0,86.0,82.0,154.0,184.0,1071.0,268.0,113.0,79.0
